IDText;Text;new_text;Tokeniz;dibakukan;stemmed;pre_stem;Kelas_SVM;manual;Kelas_RF;Kelas_SVM_SMOTE_Minority;Kelas_SOMTERF;Kelas_SVM_SMOTE2;Kelas_Voting_Hard;Kelas_Stacking;Kelas_PCAVoting_Hard;Kelas_PCA_Stacking;Kelas_Stacking2;Kelas_Stacking3
TXT0530;"Ganjar-Mahfud akan membawa semangat persatuan melalui olahraga di seluruh Indonesia. @111Alfin Happy New Year 
#GanjarMahfud2024
#GanjarMahfudM3nang
#L3bihbaik https://t.co/P5C4hFZGgb";membawa semangat persatuan olahraga indonesia happy new year;['membawa', 'semangat', 'persatuan', 'olahraga', 'indonesia', 'happy', 'new', 'year'];['membawa', 'semangat', 'persatuan', 'olahraga', 'indonesia', 'happy', 'new', 'year'];['bawa', 'semangat', 'satu', 'olahraga', 'indonesia', 'happy', 'new', 'year'];bawa semangat satu olahraga indonesia happy new year;Politik;Sosial Budaya;Politik;Politik;Politik;Politik;Politik;Politik;Politik;Politik;Politik;Politik
TXT0531;Calon presiden nomor urut 3 Ganjar Pranowo mengaku sudah menentukan postur pemerintahan jika terpilih menjadi presiden pada 2024. ~J #GanjarPranowo #Pemilu2024 #GanjarMahfud #JernihkanHarapan https://t.co/XIYWk9atWu [RE kompascom];calon presiden nomor urut mengaku menentukan postur pemerintahan terpilih presiden j jernihkanharapan;['calon', 'presiden', 'nomor', 'urut', 'mengaku', 'menentukan', 'postur', 'pemerintahan', 'terpilih', 'presiden', 'j', 'jernihkanharapan'];['calon', 'presiden', 'nomor', 'urut', 'mengaku', 'menentukan', 'postur', 'pemerintahan', 'terpilih', 'presiden', 'saja', 'jernihkanharapan'];['calon', 'presiden', 'nomor', 'urut', 'aku', 'tentu', 'postur', 'perintah', 'pilih', 'presiden', 'saja', 'jernihkanharapan'];calon presiden nomor urut aku tentu postur perintah pilih presiden saja jernihkanharapan;Sosial Budaya;Politik;Sosial Budaya;Sosial Budaya;Politik;Sosial Budaya;Politik;Sosial Budaya;Politik;Politik;Politik;Sosial Budaya
TXT0532;@Ki_Priok @CNNIndonesia Beginilah bahasa kelompok yg penuh kebencian terhadap Jokowi,apa salah nya Prabowo bekerja sama dg pemerintah yg sah, sebagai pengabdian terhadap negara.. ?;kipriok cnnindonesia bahasa kelompok penuh kebencian nya dg pemerintah sah pengabdian negara;['kipriok', 'cnnindonesia', 'bahasa', 'kelompok', 'penuh', 'kebencian', 'nya', 'dg', 'pemerintah', 'sah', 'pengabdian', 'negara'];['kipriok', 'cnnindonesia', 'bahasa', 'kelompok', 'penuh', 'kebencian', 'nya', 'dengan', 'pemerintah', 'sah', 'pengabdian', 'negara'];['kipriok', 'cnnindonesia', 'bahasa', 'kelompok', 'penuh', 'benci', 'nya', 'dengan', 'perintah', 'sah', 'abdi', 'negara'];kipriok cnnindonesia bahasa kelompok penuh benci nya dengan perintah sah abdi negara;Demografi;Politik;Demografi;Demografi;Politik;Demografi;Demografi;Demografi;Politik;Politik;Politik;Demografi
TXT0533;"Prabowo adalah menhan terburuk sepanjang sejarah Indonesia berdiri..

Anggaran bertambah tapi jebol sama perahu kayu Rohingya.. 

Ini bukan karena pertahanan kita kurang canggih dan kuat2, melainkan karena Menhan sibuk ngurusin singkong.. 

Indonesia hanya menunggu kehancuran kalau dipimpin Prabowo.. [RE Paltiwest]";menhan terburuk sejarah indonesia berdirianggaran bertambah jebol perahu kayu rohingya pertahanan canggih menhan sibuk ngurusin singkong indonesia menunggu kehancuran dipimpin;['menhan', 'terburuk', 'sejarah', 'indonesia', 'berdirianggaran', 'bertambah', 'jebol', 'perahu', 'kayu', 'rohingya', 'pertahanan', 'canggih', 'menhan', 'sibuk', 'ngurusin', 'singkong', 'indonesia', 'menunggu', 'kehancuran', 'dipimpin'];['menhan', 'terburuk', 'sejarah', 'indonesia', 'berdirianggaran', 'bertambah', 'jebol', 'perahu', 'kayu', 'rohingya', 'pertahanan', 'canggih', 'menhan', 'sibuk', 'mengurusi', 'singkong', 'indonesia', 'menunggu', 'kehancuran', 'dipimpin'];['menhan', 'buruk', 'sejarah', 'indonesia', 'berdirianggaran', 'tambah', 'jebol', 'perahu', 'kayu', 'rohingya', 'tahan', 'canggih', 'menhan', 'sibuk', 'urus', 'singkong', 'indonesia', 'tunggu', 'hancur', 'pimpin'];menhan buruk sejarah indonesia berdirianggaran tambah jebol perahu kayu rohingya tahan canggih menhan sibuk urus singkong indonesia tunggu hancur pimpin;Sumber Daya Alam;Pertahanan dan Keamanan;Sumber Daya Alam;Sumber Daya Alam;Pertahanan dan Keamanan;Sumber Daya Alam;Sumber Daya Alam;Pertahanan dan Keamanan;Pertahanan dan Keamanan;Pertahanan dan Keamanan;Politik;Sumber Daya Alam
TXT0534;@ernestprakasa Gw sih ga masalah pajak gw dan pajak banyak orang di luar sana di pake buat ngasih info ke umum biar gak banyak orang tersesat di buat data anies dan ganjar.;ernestprakasa gw sih ga pajak gw pajak orang pake ngasih info biar orang tersesat data anies;['ernestprakasa', 'gw', 'sih', 'ga', 'pajak', 'gw', 'pajak', 'orang', 'pake', 'ngasih', 'info', 'biar', 'orang', 'tersesat', 'data', 'anies'];['ernestprakasa', 'gue', 'sih', 'enggak', 'pajak', 'gue', 'pajak', 'orang', 'pakai', 'mengasih', 'info', 'biar', 'orang', 'tersesat', 'data', 'anies'];['ernestprakasa', 'gue', 'sih', 'enggak', 'pajak', 'gue', 'pajak', 'orang', 'pakai', 'asih', 'info', 'biar', 'orang', 'sesat', 'data', 'anies'];ernestprakasa gue sih enggak pajak gue pajak orang pakai asih info biar orang sesat data anies;Politik;Politik;Ekonomi;Politik;Politik;Politik;Politik;Ekonomi;Politik;Politik;Politik;Ekonomi
TXT0535;Diberi Nilai Kecil oleh Ganjar dan Anies, Prabowo Ungkap Prestasinya Selama Jadi Menhan https://t.co/nrcwM3q2Tm [RE OposisiCerdas];nilai anies prestasinya menhan;['nilai', 'anies', 'prestasinya', 'menhan'];['nilai', 'anies', 'prestasinya', 'menhan'];['nilai', 'anies', 'prestasi', 'menhan'];nilai anies prestasi menhan;Pertahanan dan Keamanan;Pertahanan dan Keamanan;Pertahanan dan Keamanan;Pertahanan dan Keamanan;Pertahanan dan Keamanan;Pertahanan dan Keamanan;Pertahanan dan Keamanan;Pertahanan dan Keamanan;Pertahanan dan Keamanan;Pertahanan dan Keamanan;Politik;Pertahanan dan Keamanan
TXT0536;"Tepat kata Prabowo : ""Jangan menjadi Pemimpin yang suka menghasut"" ""Tidak beretika"" dan ""Tukang Omon-omon""";pemimpin suka menghasut beretika tukang;['pemimpin', 'suka', 'menghasut', 'beretika', 'tukang'];['pemimpin', 'suka', 'menghasut', 'beretika', 'tukang'];['pimpin', 'suka', 'hasut', 'etika', 'tukang'];pimpin suka hasut etika tukang;Sosial Budaya;Politik;Sosial Budaya;Sosial Budaya;Sosial Budaya;Sosial Budaya;Sosial Budaya;Sosial Budaya;Sosial Budaya;Sosial Budaya;Politik;Sosial Budaya
TXT0537;"Ganjar vs Prabowo di acara Paku integritas KPK.

Ganjar dlm memberantas korupsi.
Menjaga independensi KPK, Transparansi anggaran, miskinkan koruptor, kirim ke Nusakambangan.

Prabowo, naikkan gaji pejabat, kasih kediaman resmi yg mewah.

Silahkan dinilai.
Ganjar Presiden Rakyat
#GanjarMahfud2024 [RE ch_chotimah2]";vs acara paku integritas dlm memberantas korupsimenjaga independensi kpk transparansi anggaran miskinkan koruptor kirim naikkan gaji pejabat kasih kediaman resmi presiden;['vs', 'acara', 'paku', 'integritas', 'dlm', 'memberantas', 'korupsimenjaga', 'independensi', 'kpk', 'transparansi', 'anggaran', 'miskinkan', 'koruptor', 'kirim', 'naikkan', 'gaji', 'pejabat', 'kasih', 'kediaman', 'resmi', 'presiden'];['vs', 'acara', 'paku', 'integritas', 'dalam', 'memberantas', 'korupsimenjaga', 'independensi', 'kpk', 'transparansi', 'anggaran', 'miskinkan', 'koruptor', 'kirim', 'naikkan', 'gaji', 'pejabat', 'kasih', 'kediaman', 'resmi', 'presiden'];['vs', 'acara', 'paku', 'integritas', 'dalam', 'berantas', 'korupsimenjaga', 'independensi', 'kpk', 'transparansi', 'anggar', 'miskin', 'koruptor', 'kirim', 'naik', 'gaji', 'jabat', 'kasih', 'diam', 'resmi', 'presiden'];vs acara paku integritas dalam berantas korupsimenjaga independensi kpk transparansi anggar miskin koruptor kirim naik gaji jabat kasih diam resmi presiden;Ideologi;Politik;Politik;Ideologi;Sosial Budaya;Politik;Ideologi;Ideologi;Ideologi;Politik;Politik;Politik
TXT0538;@ZoelFawzie @mochamadarip Basi ngomong penculik saja yang muncul setiap pesta demokrasi. Pertanyaan kenapa ibu Megawati mau menggandeng saat pesta demokrasi 2009 Megawati Prabowo.;zoelfawzie mochamadarip basi penculik muncul pesta demokrasi megawati menggandeng pesta demokrasi megawati;['zoelfawzie', 'mochamadarip', 'basi', 'penculik', 'muncul', 'pesta', 'demokrasi', 'megawati', 'menggandeng', 'pesta', 'demokrasi', 'megawati'];['zoelfawzie', 'mochamadarip', 'basi', 'penculik', 'muncul', 'pesta', 'demokrasi', 'megawati', 'menggandeng', 'pesta', 'demokrasi', 'megawati'];['zoelfawzie', 'mochamadarip', 'basi', 'culik', 'muncul', 'pesta', 'demokrasi', 'megawati', 'gandeng', 'pesta', 'demokrasi', 'megawati'];zoelfawzie mochamadarip basi culik muncul pesta demokrasi megawati gandeng pesta demokrasi megawati;Politik;Politik;Politik;Politik;Politik;Politik;Politik;Politik;Politik;Politik;Politik;Politik
TXT0539;smntara, prabowo malah dgn bangga menguasai tanah hampir 500ribu hektar, bahkan stelah dia bicara secara lugas mau ngatasi ketimpangan, kemiskinan dan semua jargon2 kenegaraannya yang template slama 3 kali debat. dan kbengisan dilanjut oleh para buzzernya dg giring opini mcam ini;smntara dgn bangga menguasai tanah hektar bicara lugas ngatasi ketimpangan kemiskinan kenegaraannya template slama kali debat kbengisan dilanjut buzzernya dg giring opini mcam;['smntara', 'dgn', 'bangga', 'menguasai', 'tanah', 'hektar', 'bicara', 'lugas', 'ngatasi', 'ketimpangan', 'kemiskinan', 'kenegaraannya', 'template', 'slama', 'kali', 'debat', 'kbengisan', 'dilanjut', 'buzzernya', 'dg', 'giring', 'opini', 'mcam'];['smntara', 'dengan', 'bangga', 'menguasai', 'tanah', 'hektar', 'bicara', 'lugas', 'ngatasi', 'ketimpangan', 'kemiskinan', 'kenegaraannya', 'template', 'selama', 'kali', 'debat', 'kbengisan', 'dilanjut', 'buzzernya', 'dengan', 'giring', 'opini', 'mcam'];['smntara', 'dengan', 'bangga', 'kuasa', 'tanah', 'hektar', 'bicara', 'lugas', 'ngatasi', 'timpang', 'miskin', 'negara', 'template', 'lama', 'kali', 'debat', 'kbengisan', 'lanjut', 'buzzernya', 'dengan', 'giring', 'opini', 'mcam'];smntara dengan bangga kuasa tanah hektar bicara lugas ngatasi timpang miskin negara template lama kali debat kbengisan lanjut buzzernya dengan giring opini mcam;Politik;Sumber Daya Alam;Politik;Politik;Politik;Politik;Politik;Politik;Politik;Politik;Politik;Politik
TXT0540;"@CNNIndonesia Ian Wilson (Univ. Murdoch):
""Saya sama sekali tak melihat Jokowi sebagai seorang demokrat,"" Manuver Jokowi sbg bagian dari tren anti-demokrasi yang dianut banyak politikus Indonesia. Para politikus itu termasuk Prabowo yang pernah berharap menggantikan ayah mertuanya, Soeharto. https://t.co/biGFjFRQK5 [RE CCwithSybil]";cnnindonesia ian wilson univ murdochsaya demokrat manuver sbg tren antidemokrasi dianut politikus indonesia politikus berharap menggantikan ayah mertuanya soeharto;['cnnindonesia', 'ian', 'wilson', 'univ', 'murdochsaya', 'demokrat', 'manuver', 'sbg', 'tren', 'antidemokrasi', 'dianut', 'politikus', 'indonesia', 'politikus', 'berharap', 'menggantikan', 'ayah', 'mertuanya', 'soeharto'];['cnnindonesia', 'ian', 'wilson', 'universitas', 'murdochsaya', 'demokrat', 'manuver', 'sebagai', 'tren', 'antidemokrasi', 'dianut', 'politikus', 'indonesia', 'politikus', 'berharap', 'menggantikan', 'ayah', 'mertuanya', 'soeharto'];['cnnindonesia', 'ian', 'wilson', 'universitas', 'murdochsaya', 'demokrat', 'manuver', 'bagai', 'tren', 'antidemokrasi', 'anut', 'politikus', 'indonesia', 'politikus', 'harap', 'ganti', 'ayah', 'mertua', 'soeharto'];cnnindonesia ian wilson universitas murdochsaya demokrat manuver bagai tren antidemokrasi anut politikus indonesia politikus harap ganti ayah mertua soeharto;Politik;Ideologi;Politik;Politik;Politik;Politik;Politik;Politik;Politik;Politik;Politik;Politik
